landmark_id,hierarchical_label,natural_or_human_made
653,lighthouse,human-made
654,church,human-made
657,island,natural
658,church,human-made
661,museum,human-made
662,buddhist temple,human-made
663,lighthouse,human-made
664,lake,natural
665,castle / fort,human-made
666,island,natural
667,church,human-made
668,sports venue,human-made
669,garden,natural
672,sports venue,human-made
674,church,human-made
675,market,human-made
676,lighthouse,human-made
677,castle / fort,human-made
679,museum,human-made
680,lighthouse,human-made
681,church,human-made
682,bridge,human-made
683,mountain,natural
686,museum,human-made
688,monastery,human-made
689,cemetery,human-made
693,church,human-made
699,church,human-made
700,church,human-made
701,museum,human-made
703,church,human-made
704,castle / fort,human-made
707,skyscraper,human-made
708,church,human-made
709,mountain,natural
710,government building,human-made
711,government building,human-made
712,aqueduct,human-made
713,museum,human-made
714,bridge,human-made
715,church,human-made
716,church,human-made
717,church,human-made
719,boat,human-made
720,parks,natural
721,church,human-made
724,beach,natural
726,bridge,human-made
727,church,human-made
728,monastery,human-made
729,lighthouse,human-made
734,prison,human-made
735,mountain,natural
736,church,human-made
737,museum,human-made
738,church,human-made
739,mountain,natural
740,mountain,natural
741,church,human-made
743,parks,natural
745,church,human-made
746,church,human-made
748,parks,natural
751,mountain,natural
752,lake,natural
753,river,natural
754,castle / fort,human-made
756,garden,natural
757,sports venue,human-made
759,castle / fort,human-made
760,church,human-made
761,lake,natural
764,monastery,human-made
765,lighthouse,human-made
766,mountain,natural
767,palace,human-made
768,church,human-made
769,parks,natural
770,cemetery,human-made
771,parks,natural
773,parks,natural
774,museum,human-made
775,prison,human-made
776,city,human-made
778,bridge,human-made
780,trail,natural
781,rail transportation,human-made
784,museum,human-made
791,church,human-made
792,parks,natural
793,mountain,natural
795,square,human-made
796,museum,human-made
797,museum,human-made
798,church,human-made
799,parks,natural
800,parks,natural
801,church,human-made
802,parks,natural
804,boat,human-made
807,sculpture,human-made
808,museum,human-made
809,mountain,natural
811,museum,human-made
812,mountain,natural
813,lake,natural
816,castle / fort,human-made
817,castle / fort,human-made
819,square,human-made
821,mountain,natural
823,lake,natural
825,rail transportation,human-made
828,museum,human-made
829,church,human-made
830,museum,human-made
831,road,human-made
832,house,human-made
834,monastery,human-made
835,shinto shrine,human-made
836,church,human-made
838,river,natural
840,church,human-made
841,lake,natural
842,castle / fort,human-made
845,castle / fort,human-made
846,church,human-made
847,city,human-made
848,church,human-made
850,house,human-made
852,mountain,natural
853,mountain,natural
854,square,human-made
855,river,natural
856,hotel,human-made
857,waterfall,natural
858,church,human-made
859,factory,human-made
860,garden,natural
862,shinto shrine,human-made
866,church,human-made
867,sports venue,human-made
869,waterfall,natural
871,theatre,human-made
873,government building,human-made
874,castle / fort,human-made
876,mountain,natural
878,church,human-made
881,castle / fort,human-made
883,church,human-made
885,zoo,human-made
888,cemetery,human-made
890,museum,human-made
891,island,natural
892,church,human-made
896,sports venue,human-made
897,city,human-made
898,sports venue,human-made
900,castle / fort,human-made
901,church,human-made
902,museum,human-made
904,church,human-made
905,church,human-made
907,church,human-made
909,castle / fort,human-made
910,lake,natural
911,museum,human-made
912,bridge,human-made
913,museum,human-made
914,church,human-made
917,boat,human-made
920,museum,human-made
925,museum,human-made
929,hotel,human-made
933,mountain,natural
935,bridge,human-made
943,church,human-made
945,castle / fort,human-made
946,castle / fort,human-made
947,museum,human-made
949,museum,human-made
950,market,human-made
951,cemetery,human-made
953,mountain,natural
955,church,human-made
956,museum,human-made
957,hotel,human-made
959,theatre,human-made
960,church,human-made
963,church,human-made
964,church,human-made
966,museum,human-made
968,church,human-made
969,observatory,human-made
970,lighthouse,human-made
971,boat,human-made
972,church,human-made
973,hotel,human-made
974,skyscraper,human-made
975,island,natural
981,parks,natural
983,castle / fort,human-made
985,prison,human-made
986,cemetery,human-made
987,garden,natural
988,cemetery,human-made
989,bridge,human-made
990,city,human-made
992,museum,human-made
994,church,human-made
995,tower,human-made
996,castle / fort,human-made
1000,parks,natural
1001,parks,natural
1004,mountain,natural
1005,parks,natural
1006,lake,natural
1009,museum,human-made
1010,mountain,natural
1016,house,human-made
1017,house,human-made
1019,castle / fort,human-made
1020,parks,natural
1021,parks,natural
1024,hotel,human-made
1029,lighthouse,human-made
1031,settlement,human-made
1034,church,human-made
1036,church,human-made
1038,church,human-made
1039,castle / fort,human-made
1040,castle / fort,human-made
1042,castle / fort,human-made
1044,church,human-made
1050,museum,human-made
1054,library,human-made
1055,dam,human-made
1056,mountain,natural
1057,mountain,natural
1059,river,natural
1061,mountain,natural
1062,gate,human-made
1063,museum,human-made
1065,beach,natural
1067,church,human-made
1073,lake,natural
1074,lighthouse,human-made
1076,church,human-made
1080,castle / fort,human-made
1082,museum,human-made
1085,city,human-made
1089,museum,human-made
1090,church,human-made
1091,church,human-made
1092,church,human-made
1093,church,human-made
1095,fountain,human-made
1096,agricultural land,natural
1097,stone,natural
1099,mountain,natural
1100,church,human-made
1103,hotel,human-made
1104,festival,human-made
1106,house,human-made
1108,gate,human-made
1111,church,human-made
1112,church,human-made
1115,buddhist temple,human-made
1116,palace,human-made
1117,mountain,natural
1118,church,human-made
1119,parks,natural
1123,church,human-made
1125,mountain,natural
1126,library,human-made
1127,church,human-made
1130,church,human-made
1132,mountain,natural
1133,mountain,natural
1135,mountain,natural
1141,prison,human-made
1142,castle / fort,human-made
1145,mountain,natural
1146,church,human-made
1147,parks,natural
1148,church,human-made
1149,garden,natural
1151,sports venue,human-made
1152,island,natural
1154,castle / fort,human-made
1157,castle / fort,human-made
1158,bridge,human-made
1160,castle / fort,human-made
1163,church,human-made
1166,church,human-made
1167,ocean area ,natural
1168,church,human-made
1170,skyscraper,human-made
1173,mountain,natural
1174,church,human-made
1175,mountain,natural
1176,house,human-made
1177,sports venue,human-made
1179,castle / fort,human-made
1184,mountain,natural
1185,museum,human-made
1186,cemetery,human-made
1188,church,human-made
1190,church,human-made
1191,museum,human-made
1198,castle / fort,human-made
1200,church,human-made
1201,church,human-made
1202,church,human-made
1203,mountain,natural
1204,mountain,natural
1207,church,human-made
1208,parks,natural
1209,church,human-made
1210,church,human-made
1212,church,human-made
1213,gate,human-made
1214,church,human-made
1216,power plant,human-made
1217,museum,human-made
1218,museum,human-made
1220,lake,natural
1221,church,human-made
1224,mountain,natural
1225,river,natural
1226,skyscraper,human-made
1228,river,natural
1229,museum,human-made
1230,theatre,human-made
1232,church,human-made
1233,waterfall,natural
1234,castle / fort,human-made
1235,church,human-made
1236,prison,human-made
1237,square,human-made
1238,mountain,natural
1242,government building,human-made
1243,buddhist temple,human-made
1245,palace,human-made
1247,church,human-made
1249,bridge,human-made
1251,government building,human-made
1253,bridge,human-made
1254,sports venue,human-made
1255,parks,natural
1256,church,human-made
1257,mountain,natural
1258,mountain,natural
1263,bridge,human-made
1264,church,human-made
1265,shinto shrine,human-made
1266,church,human-made
1267,church,human-made
1269,castle / fort,human-made
1276,church,human-made
1279,lake,natural
1287,church,human-made
1289,museum,human-made
1290,church,human-made
1292,church,human-made
1293,parks,natural
1294,castle / fort,human-made
1298,parks,natural
1299,church,human-made
1300,monastery,human-made
1301,church,human-made
1303,church,human-made
1306,hotel,human-made
1307,museum,human-made
1311,castle / fort,human-made
1312,city,human-made
1314,museum,human-made
1316,island,natural
1317,church,human-made
1319,library,human-made
1320,church,human-made
1321,house,human-made
1323,library,human-made
1324,mountain,natural
1325,church,human-made
1326,zoo,human-made
1327,mosque,human-made
1328,church,human-made
1329,bridge,human-made
1333,mountain,natural
1334,mountain,natural
1336,church,human-made
1337,church,human-made
1341,mountain,natural
1342,church,human-made
1346,church,human-made
1348,church,human-made
1349,tree,natural
1350,church,human-made
1351,archeological site,human-made
1353,mountain,natural
1355,sports venue,human-made
1357,church,human-made
1361,castle / fort,human-made
1363,parks,natural
1365,government building,human-made
1367,island,natural
1368,archeological site,human-made
1369,church,human-made
1371,church,human-made
1372,monastery,human-made
1376,fountain,human-made
1378,river,natural
1380,church,human-made
1381,bridge,human-made
1383,museum,human-made
1387,village,human-made
1388,monastery,human-made
1390,church,human-made
1392,mosque,human-made
1393,bridge,human-made
1395,garden,natural
1396,bridge,human-made
1399,synagogue,human-made
1400,bridge,human-made
1401,hindu temple,human-made
1403,city,human-made
1404,castle / fort,human-made
1406,parks,natural
1407,river,natural
1409,parks,natural
1411,mosque,human-made
1412,sports venue,human-made
1413,observatory,human-made
1415,city,human-made
1416,mountain,natural
1419,parks,natural
1421,bridge,human-made
1422,church,human-made
1423,city,human-made
1424,castle / fort,human-made
1427,parks,natural
1428,church,human-made
1430,church,human-made
1432,church,human-made
1436,observatory,human-made
1437,church,human-made
1439,cemetery,human-made
1440,library,human-made
1441,volcano,natural
1442,parks,natural
1443,church,human-made
1444,museum,human-made
1445,church,human-made
1446,castle / fort,human-made
1447,church,human-made
1451,cemetery,human-made
1456,archeological site,human-made
1460,house,human-made
1463,church,human-made
1464,waterfall,natural
1465,cemetery,human-made
1468,parks,natural
1469,church,human-made
1471,castle / fort,human-made
1474,island,natural
1480,amusement park,human-made
1481,river,natural
1482,church,human-made
1483,parks,natural
1485,lake,natural
1489,square,human-made
1496,sports venue,human-made
1498,restaurant,human-made
1500,parks,natural
1501,sports venue,human-made
1505,theatre,human-made
1506,mountain,natural
1508,government building,human-made
1509,castle / fort,human-made
1511,canal,natural
1512,cemetery,human-made
1515,house,human-made
1517,museum,human-made
1518,city,human-made
1519,museum,human-made
1520,sports venue,human-made
1521,sports venue,human-made
1522,square,human-made
1523,church,human-made
1524,mountain,natural
1525,castle / fort,human-made
1526,castle / fort,human-made
1528,church,human-made
1530,palace,human-made
1532,church,human-made
1533,church,human-made
1534,museum,human-made
1535,church,human-made
1536,waterfall,natural
1538,skyscraper,human-made
1539,church,human-made
1540,mountain,natural
1541,church,human-made
1545,sculpture,human-made
1547,church,human-made
1548,museum,human-made
1549,parks,natural
1551,church,human-made
1552,museum,human-made
1553,church,human-made
1554,parks,natural
1555,church,human-made
1557,hotel,human-made
1558,church,human-made
1562,church,human-made
1565,castle / fort,human-made
1566,museum,human-made
1569,river,natural
1570,air transportation,human-made
1571,city,human-made
1572,parks,natural
1573,parks,natural
1574,church,human-made
1576,mountain,natural
1577,church,human-made
1580,parks,natural
1583,library,human-made
1586,synagogue,human-made
1587,mountain,natural
1588,tower,human-made
1590,church,human-made
1595,road,human-made
1596,parks,natural
1600,cemetery,human-made
1602,church,human-made
1604,cave,natural
1605,island,natural
1606,church,human-made
1607,sports venue,human-made
1608,church,human-made
1609,museum,human-made
1610,lighthouse,human-made
1611,bridge,human-made
1613,mountain,natural
1614,sports venue,human-made
1616,museum,human-made
1618,city,human-made
1621,church,human-made
1623,rail transportation,human-made
1624,house,human-made
1626,church,human-made
1628,church,human-made
1632,museum,human-made
1633,island,natural
1634,road,human-made
1637,lake,natural
1638,tower,human-made
1641,church,human-made
1643,bridge,human-made
1646,mountain,natural
1647,church,human-made
1649,palace,human-made
1650,museum,human-made
1651,canal,natural
1652,church,human-made
1653,church,human-made
1657,monastery,human-made
1658,church,human-made
1660,parks,natural
1661,island,natural
1667,lake,natural
1668,dam,human-made
1670,museum,human-made
1672,lighthouse,human-made
1673,lake,natural
1674,castle / fort,human-made
1675,school,human-made
1676,church,human-made
1677,mountain,natural
1680,harbor,human-made
1681,parks,natural
1684,synagogue,human-made
1685,church,human-made
1686,library,human-made
1688,parks,natural
1689,museum,human-made
1692,river,natural
1693,church,human-made
1694,mine,human-made
1695,church,human-made
1697,lighthouse,human-made
1698,mountain,natural
1703,parks,natural
1704,castle / fort,human-made
1707,parks,natural
1708,school,human-made
1709,buddhist temple,human-made
1710,river,natural
1712,tower,human-made
1713,mountain,natural
1717,sports venue,human-made
1719,church,human-made
1720,castle / fort,human-made
1721,bridge,human-made
1722,castle / fort,human-made
1723,sports venue,human-made
1724,parks,natural
1725,church,human-made
1728,church,human-made
1729,castle / fort,human-made
1730,harbor,human-made
1731,bridge,human-made
1732,church,human-made
1733,parks,natural
1735,museum,human-made
1736,stone,natural
1738,church,human-made
1746,castle / fort,human-made
1748,parks,natural
1750,lighthouse,human-made
1756,church,human-made
1757,shopping,human-made
1758,gate,human-made
1760,bath,human-made
1761,cemetery,human-made
1763,museum,human-made
1764,church,human-made
1766,museum,human-made
1768,library,human-made
1769,church,human-made
1771,island,natural
1772,mountain,natural
1773,church,human-made
1775,trail,natural
1779,museum,human-made
1780,museum,human-made
1782,lighthouse,human-made
1784,mountain,natural
1785,house,human-made
1789,theatre,human-made
1790,church,human-made
1792,museum,human-made
1793,church,human-made
1794,cemetery,human-made
1797,island,natural
1799,sports venue,human-made
1802,cave,natural
1803,church,human-made
1805,church,human-made
1807,castle / fort,human-made
1810,sports venue,human-made
1811,church,human-made
1813,parks,natural
1816,library,human-made
1817,hotel,human-made
1819,castle / fort,human-made
1821,bridge,human-made
1823,castle / fort,human-made
1824,museum,human-made
1827,museum,human-made
1828,lake,natural
1829,agricultural land,natural
1831,boat,human-made
1834,gate,human-made
1835,mountain,natural
1839,fountain,human-made
1840,cable transportation,human-made
1842,waterfall,natural
1843,parks,natural
1844,church,human-made
1847,castle / fort,human-made
1849,castle / fort,human-made
1851,church,human-made
1852,church,human-made
1854,church,human-made
1855,fountain,human-made
1861,church,human-made
1862,house,human-made
1864,church,human-made
1865,island,natural
1867,parks,natural
1869,church,human-made
1873,island,natural
1876,church,human-made
1878,house,human-made
1880,museum,human-made
1882,cemetery,human-made
1884,parks,natural
1885,church,human-made
1886,mountain,natural
1887,lake,natural
1888,cave,natural
1889,museum,human-made
1890,agricultural land,natural
1896,garden,natural
1899,sculpture,human-made
1900,castle / fort,human-made
1904,skyscraper,human-made
1905,lake,natural
1907,school,human-made
1908,bridge,human-made
1909,parks,natural
1910,harbor,human-made
1914,sports venue,human-made
1916,sculpture,human-made
1917,theatre,human-made
1919,island,natural
1921,castle / fort,human-made
1922,church,human-made
1923,church,human-made
1924,parks,natural
1925,church,human-made
1927,mountain,natural
1928,church,human-made
1929,city,human-made
1932,palace,human-made
1933,parks,natural
1934,city,human-made
1936,church,human-made
1937,castle / fort,human-made
1938,castle / fort,human-made
1940,shopping,human-made
1942,archeological site,human-made
1945,church,human-made
1947,sculpture,human-made
1948,parks,natural
1949,church,human-made
1953,parks,natural
1954,mountain,natural
1955,mountain,natural
1956,theatre,human-made
1958,castle / fort,human-made
1960,church,human-made
1962,island,natural
1963,tower,human-made
1964,church,human-made
1967,church,human-made
1969,church,human-made
1970,library,human-made
1971,mountain,natural
1972,cemetery,human-made
1974,castle / fort,human-made
1976,mountain,natural
1978,city,human-made
1979,bridge,human-made
1981,museum,human-made
1982,church,human-made
1984,house,human-made
1985,church,human-made
1988,bridge,human-made
1989,castle / fort,human-made
1990,church,human-made
1993,castle / fort,human-made
1997,museum,human-made
2000,church,human-made
2001,buddhist temple,human-made
2002,church,human-made
2003,theatre,human-made
2004,church,human-made
2007,archeological site,human-made
2008,museum,human-made
2011,ocean area ,natural
2013,dam,human-made
2015,castle / fort,human-made
2016,church,human-made
2018,church,human-made
2022,cemetery,human-made
2023,sculpture,human-made
2024,lake,natural
2025,palace,human-made
2027,island,natural
2028,parks,natural
2029,cemetery,human-made
2034,sculpture,human-made
2036,museum,human-made
2038,school,human-made
2039,parks,natural
2041,lighthouse,human-made
2042,sports venue,human-made
2043,pyramid,human-made
2045,mountain,natural
2046,church,human-made
2047,church,human-made
2049,amusement park,human-made
2050,museum,human-made
2051,castle / fort,human-made
2053,island,natural
2054,theatre,human-made
2059,sports venue,human-made
2060,museum,human-made
2061,shinto shrine,human-made
2063,zoo,human-made
2064,bridge,human-made
2065,mountain,natural
2066,house,human-made
2067,house,human-made
2068,lake,natural
2069,church,human-made
2070,church,human-made
2071,church,human-made
2074,fountain,human-made
2077,church,human-made
2079,church,human-made
2080,church,human-made
2081,tower,human-made
2082,church,human-made
2087,government building,human-made
2089,church,human-made
2090,sculpture,human-made
2091,house,human-made
2092,house,human-made
2093,ocean area ,natural
2094,mountain,natural
2095,buddhist temple,human-made
2096,church,human-made
2097,church,human-made
2099,skyscraper,human-made
2100,river,natural
2101,church,human-made
2103,mountain,natural
2104,archeological site,human-made
2105,church,human-made
2106,church,human-made
2107,theatre,human-made
2108,canal,natural
2109,cable transportation,human-made
2110,cable transportation,human-made
2116,church,human-made
2117,church,human-made
2118,lake,natural
2119,church,human-made
2120,church,human-made
2121,city,human-made
2122,archeological site,human-made
2124,tower,human-made
2125,castle / fort,human-made
2126,mosque,human-made
2128,harbor,human-made
2130,city,human-made
2132,sculpture,human-made
2134,bridge,human-made
2136,garden,natural
2137,harbor,human-made
2139,sculpture,human-made
2141,festival,human-made
2147,tower,human-made
2148,church,human-made
2150,church,human-made
2151,skyscraper,human-made
2154,rail transportation,human-made
2155,castle / fort,human-made
2156,mountain,natural
2159,castle / fort,human-made
2164,church,human-made
2165,lighthouse,human-made
2166,church,human-made
2168,church,human-made
2169,tower,human-made
2171,museum,human-made
2172,bridge,human-made
2173,sports venue,human-made
2176,museum,human-made
2177,village,human-made
2180,castle / fort,human-made
2181,church,human-made
2182,castle / fort,human-made
2186,cemetery,human-made
2187,church,human-made
2189,church,human-made
2192,sports venue,human-made
2193,mountain,natural
2195,lighthouse,human-made
2197,mountain,natural
2200,sports venue,human-made
2204,mountain,natural
2205,mountain,natural
2207,bridge,human-made
2208,mountain,natural
2209,theatre,human-made
2212,church,human-made
2214,museum,human-made
2215,museum,human-made
2216,palace,human-made
2217,lighthouse,human-made
2222,parks,natural
2223,church,human-made
2228,bridge,human-made
2229,castle / fort,human-made
2230,rail transportation,human-made
2232,hindu temple,human-made
2233,mountain,natural
2234,island,natural
2237,museum,human-made
2238,church,human-made
2239,church,human-made
2240,cave,natural
2244,church,human-made
2246,museum,human-made
2247,bridge,human-made
2248,church,human-made
2249,gate,human-made
2250,house,human-made
2255,church,human-made
2257,church,human-made
2260,mosque,human-made
2261,church,human-made
2262,museum,human-made
2265,monastery,human-made
2266,island,natural
2268,village,human-made
2271,sports venue,human-made
2278,city,human-made
2279,mountain,natural
2281,house,human-made
2282,castle / fort,human-made
2283,library,human-made
2285,amusement park,human-made
2286,government building,human-made
2287,zoo,human-made
2290,mosque,human-made
2293,waterfall,natural
2294,mountain,natural
2296,mosque,human-made
2297,church,human-made
2300,garden,natural
2304,church,human-made
2307,sports venue,human-made
2308,church,human-made
2309,church,human-made
2311,castle / fort,human-made
2313,church,human-made
2314,hotel,human-made
2315,theatre,human-made
2316,parks,natural
2317,church,human-made
2318,castle / fort,human-made
2319,island,natural
2324,sports venue,human-made
2331,lake,natural
2332,prison,human-made
2334,cemetery,human-made
2336,church,human-made
2337,library,human-made
2339,house,human-made
2342,city,human-made
2343,church,human-made
2344,buddhist temple,human-made
2345,sculpture,human-made
2346,cemetery,human-made
2347,tower,human-made
2348,lake,natural
2350,mountain,natural
2351,mountain,natural
2352,church,human-made
2353,parks,natural
2354,church,human-made
2355,city,human-made
2356,church,human-made
2358,castle / fort,human-made
2360,bridge,human-made
2361,church,human-made
2366,church,human-made
2369,sports venue,human-made
2374,monastery,human-made
2377,castle / fort,human-made
2379,museum,human-made
2381,museum,human-made
2382,castle / fort,human-made
2383,castle / fort,human-made
2384,church,human-made
2385,church,human-made
2388,zoo,human-made
2389,mountain,natural
2390,synagogue,human-made
2391,library,human-made
2394,cave,natural
2395,island,natural
2396,church,human-made
2398,river,natural
2399,mountain,natural
2402,sports venue,human-made
2407,buddhist temple,human-made
2409,hotel,human-made
2411,mountain,natural
2413,parks,natural
2416,boat,human-made
2418,lake,natural
2419,castle / fort,human-made
2422,city,human-made
2423,power plant,human-made
2428,mountain,natural
2430,church,human-made
2433,church,human-made
2436,lighthouse,human-made
2439,river,natural
2441,church,human-made
2443,theatre,human-made
2445,church,human-made
2446,ocean area ,natural
2447,cemetery,human-made
2453,palace,human-made
2454,mountain,natural
2456,church,human-made
2459,mountain,natural
2460,bridge,human-made
2462,cemetery,human-made
2466,mountain,natural
2468,parks,natural
2469,dam,human-made
2470,museum,human-made
2473,castle / fort,human-made
2474,island,natural
2475,theatre,human-made
2482,museum,human-made
2484,cemetery,human-made
2485,government building,human-made
2486,monastery,human-made
2487,church,human-made
2492,island,natural
2493,parks,natural
2494,harbor,human-made
2495,house,human-made
2496,amusement park,human-made
2498,cemetery,human-made
2499,church,human-made
2500,parks,natural
2505,church,human-made
2507,monastery,human-made
2508,church,human-made
2509,church,human-made
2511,castle / fort,human-made
2512,museum,human-made
2513,castle / fort,human-made
2514,castle / fort,human-made
2519,church,human-made
2520,lake,natural
2521,church,human-made
2526,church,human-made
2527,theatre,human-made
2528,tower,human-made
2531,mountain,natural
2532,parks,natural
2533,museum,human-made
2534,city,human-made
2535,church,human-made
2536,tower,human-made
2538,sports venue,human-made
2540,parks,natural
2541,amusement park,human-made
2543,monastery,human-made
2544,museum,human-made
2547,ocean area ,natural
2548,church,human-made
2550,museum,human-made
2553,bridge,human-made
2555,church,human-made
2556,palace,human-made
2558,church,human-made
2559,trail,natural
2561,mountain,natural
2565,museum,human-made
2567,church,human-made
2568,sports venue,human-made
2569,church,human-made
2570,cemetery,human-made
2571,church,human-made
2572,castle / fort,human-made
2573,mountain,natural
2575,church,human-made
2580,lake,natural
2582,church,human-made
2586,palace,human-made
2587,sports venue,human-made
2588,church,human-made
2589,castle / fort,human-made
